epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,111.724,0.56873,0.44,1.23217,0.98224,0.98895,0.99497,0.79186,0.51623,0.33305,0.99076,0.00131299,0.00131299,0.00131299
43,114.194,0.5813,0.44357,1.26845,0.99375,0.99179,0.99476,0.79035,0.53112,0.34312,1.02575,0.00131016,0.00131016,0.00131016
44,116.644,0.56223,0.43507,1.2122,0.98055,0.98246,0.99471,0.80313,0.51932,0.33154,1.03261,0.00130733,0.00130733,0.00130733
45,119.22,0.58396,0.42814,1.25389,0.92643,0.96134,0.99485,0.80202,0.51,0.35333,1.02421,0.00130451,0.00130451,0.00130451
46,121.769,0.57855,0.42747,1.23101,0.95663,1,0.995,0.8088,0.51689,0.33152,0.99968,0.00130168,0.00130168,0.00130168
47,124.286,0.56542,0.41493,1.2288,0.98432,0.99466,0.9949,0.81786,0.49975,0.32485,0.99798,0.00129885,0.00129885,0.00129885
48,126.889,0.5809,0.422,1.18548,0.99251,0.99692,0.995,0.81164,0.52729,0.31339,0.99796,0.00129602,0.00129602,0.00129602
49,129.506,0.56577,0.41991,1.23787,0.9698,1,0.995,0.81697,0.51051,0.31081,1.01586,0.00129319,0.00129319,0.00129319
50,132.001,0.56063,0.41537,1.22017,0.99699,0.99893,0.995,0.77118,0.52435,0.30782,0.99569,0.00129036,0.00129036,0.00129036
51,134.37,0.55526,0.41028,1.18317,0.96792,0.95426,0.98247,0.79255,0.53032,0.34095,1.04099,0.00128753,0.00128753,0.00128753
52,136.824,0.5326,0.39443,1.19765,0.96147,0.94279,0.98026,0.76533,0.56626,0.36586,1.03935,0.0012847,0.0012847,0.0012847
53,139.481,0.54929,0.39716,1.21032,0.9872,0.99875,0.995,0.81639,0.49579,0.30837,1.0116,0.00128187,0.00128187,0.00128187
54,142.1,0.56263,0.40064,1.21671,0.98296,0.99482,0.99495,0.79595,0.51825,0.31581,0.98813,0.00127904,0.00127904,0.00127904
55,144.608,0.56284,0.40522,1.2048,0.99327,0.99629,0.995,0.7985,0.50438,0.30369,1.01835,0.00127621,0.00127621,0.00127621
56,147.251,0.54257,0.39448,1.19308,0.98521,0.99625,0.995,0.82952,0.49881,0.29969,1.0084,0.00127338,0.00127338,0.00127338
57,149.981,0.54138,0.39619,1.19456,0.98022,0.99125,0.99485,0.81198,0.48608,0.29931,0.98885,0.00127055,0.00127055,0.00127055
58,152.533,0.53353,0.40243,1.17219,0.99294,0.99502,0.995,0.80843,0.48393,0.29409,0.99059,0.00126772,0.00126772,0.00126772
59,155.202,0.52483,0.39042,1.19093,0.99284,0.99427,0.99448,0.81202,0.49305,0.29245,0.99292,0.00126489,0.00126489,0.00126489
60,157.906,0.5368,0.38682,1.18488,0.98782,0.97674,0.98993,0.7749,0.54221,0.32701,1.03811,0.00126206,0.00126206,0.00126206
61,160.534,0.53596,0.39204,1.19929,0.96292,0.97859,0.98292,0.78246,0.51945,0.32987,1.04648,0.00125923,0.00125923,0.00125923
62,163.114,0.53646,0.39291,1.2148,0.99096,1,0.99483,0.79418,0.50659,0.29518,1.01102,0.00125641,0.00125641,0.00125641
63,166.205,0.54383,0.40249,1.23038,0.96121,0.98958,0.98814,0.8029,0.50561,0.30457,1.0297,0.00125358,0.00125358,0.00125358
64,169.342,0.54337,0.39065,1.19359,0.99713,1,0.995,0.82689,0.5051,0.28602,0.98709,0.00125075,0.00125075,0.00125075
65,172.332,0.55856,0.41461,1.21046,0.9872,0.99624,0.995,0.82608,0.47967,0.29503,1.00397,0.00124792,0.00124792,0.00124792
66,175.382,0.53357,0.38747,1.21683,0.97113,0.9811,0.99344,0.80896,0.5007,0.31686,1.01127,0.00124509,0.00124509,0.00124509
67,178.161,0.53162,0.38794,1.19665,0.99093,0.97246,0.9937,0.80708,0.50122,0.30103,0.98774,0.00124226,0.00124226,0.00124226
68,180.778,0.54348,0.39579,1.19321,0.99113,0.98729,0.99497,0.79008,0.50481,0.30187,1.00521,0.00123943,0.00123943,0.00123943
69,183.382,0.52824,0.38629,1.18022,0.99629,0.99706,0.995,0.8014,0.49317,0.28703,0.99574,0.0012366,0.0012366,0.0012366
70,185.969,0.53517,0.38333,1.17705,0.99601,0.99957,0.995,0.79781,0.49077,0.28343,0.98725,0.00123377,0.00123377,0.00123377
71,188.555,0.53277,0.38039,1.1506,0.99661,0.99479,0.99495,0.82057,0.49507,0.28498,1.00009,0.00123094,0.00123094,0.00123094
72,191.075,0.5029,0.36748,1.18059,0.99627,1,0.995,0.82417,0.48569,0.28229,0.98901,0.00122811,0.00122811,0.00122811
73,193.628,0.52604,0.3736,1.19053,0.99641,1,0.995,0.81078,0.51422,0.2969,0.99011,0.00122528,0.00122528,0.00122528
74,196.085,0.53406,0.37672,1.17163,0.99612,0.99942,0.995,0.81269,0.50002,0.28301,0.98948,0.00122245,0.00122245,0.00122245
75,198.619,0.53677,0.38101,1.2076,0.99777,0.99667,0.995,0.81145,0.4942,0.2757,0.98869,0.00121962,0.00121962,0.00121962
76,201.073,0.54396,0.37796,1.19767,0.99576,0.99937,0.995,0.83074,0.47687,0.27314,0.9801,0.00121679,0.00121679,0.00121679
77,203.617,0.51536,0.36609,1.18106,0.98763,1,0.995,0.80803,0.49063,0.2795,0.99173,0.00121396,0.00121396,0.00121396
78,206.186,0.52613,0.37131,1.1995,0.99473,1,0.995,0.81672,0.4843,0.26743,0.97499,0.00121113,0.00121113,0.00121113
79,208.77,0.52402,0.36856,1.17211,0.99265,1,0.995,0.82372,0.46738,0.27242,0.9844,0.00120831,0.00120831,0.00120831
80,211.536,0.52205,0.37119,1.18313,0.9974,1,0.995,0.832,0.47026,0.27338,1.00261,0.00120548,0.00120548,0.00120548
81,214.466,0.51033,0.36186,1.21535,0.99482,1,0.995,0.8325,0.47205,0.27422,0.98783,0.00120265,0.00120265,0.00120265
82,217.312,0.50542,0.36326,1.18698,0.98582,1,0.995,0.816,0.48544,0.28013,0.98818,0.00119982,0.00119982,0.00119982
83,219.747,0.51082,0.3613,1.14823,0.98618,0.99273,0.99428,0.80468,0.50581,0.27831,1.00904,0.00119699,0.00119699,0.00119699
84,222.291,0.51635,0.36565,1.17602,0.98583,0.99856,0.99495,0.82639,0.46635,0.26803,0.97578,0.00119416,0.00119416,0.00119416
85,224.747,0.51127,0.36067,1.19067,0.99571,0.99807,0.995,0.82301,0.45205,0.26067,0.96711,0.00119133,0.00119133,0.00119133
