epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.43054,3.26275,4.35227,3.56813,0,0,0,0,2.71717,4.12131,2.58655,0.00021435,0.00021435,0.00021435
2,6.87106,2.15002,3.57575,2.17463,0,0,0,0,1.90107,3.9282,3.73633,0.000438604,0.000438604,0.000438604
3,9.49686,1.64121,2.28854,1.83701,0.31667,0.17593,0.25026,0.21562,1.44257,3.33007,2.11245,0.000658332,0.000658332,0.000658332
4,12.0937,1.25665,1.59257,1.59446,0.66667,0.25871,0.46268,0.3718,1.20904,3.05678,1.36937,0.000873532,0.000873532,0.000873532
5,14.6075,1.12537,1.44036,1.57785,0.66281,0.59895,0.63257,0.53242,0.99329,2.51356,1.34223,0.00108421,0.00108421,0.00108421
6,17.294,1.05379,1.25552,1.51222,0.59897,0.73694,0.68924,0.58184,0.85832,1.86043,1.19115,0.00129035,0.00129035,0.00129035
7,20.394,0.90902,1.07664,1.42467,0.72597,0.64696,0.674,0.5755,0.84259,1.36888,1.17782,0.00134412,0.00134412,0.00134412
8,23.395,0.87688,1.01204,1.40281,0.69973,0.70563,0.69263,0.59804,0.78407,1.04984,1.20161,0.00132997,0.00132997,0.00132997
9,26.418,0.85143,0.93107,1.38359,0.75605,0.78895,0.75248,0.60077,0.82536,0.99744,1.25337,0.00131582,0.00131582,0.00131582
10,29.4854,0.82219,0.8761,1.37013,0.75709,0.74923,0.7238,0.60915,0.73344,0.78742,1.13055,0.00130168,0.00130168,0.00130168
11,31.9711,0.77807,0.80166,1.31395,0.79416,0.80103,0.77049,0.63581,0.6856,0.70441,1.08242,0.00128753,0.00128753,0.00128753
12,34.465,0.8009,0.7986,1.32579,0.79324,0.84005,0.79351,0.64265,0.67764,0.62893,1.11404,0.00127338,0.00127338,0.00127338
13,36.9954,0.76146,0.77472,1.30326,0.88071,0.91004,0.92311,0.68323,0.65727,0.53925,1.07016,0.00125923,0.00125923,0.00125923
14,39.6017,0.71873,0.70735,1.26959,0.85848,0.918,0.88889,0.68189,0.62618,0.53884,1.0768,0.00124509,0.00124509,0.00124509
15,42.1526,0.68483,0.67578,1.21403,0.89877,0.94937,0.9256,0.71501,0.6294,0.52633,1.03168,0.00123094,0.00123094,0.00123094
16,44.649,0.70079,0.68241,1.26188,0.96707,0.96395,0.97579,0.727,0.60312,0.46931,1.03752,0.00121679,0.00121679,0.00121679
17,47.1244,0.67382,0.63161,1.26932,0.9626,0.96938,0.97885,0.74052,0.5873,0.43377,1.02901,0.00120265,0.00120265,0.00120265
18,49.7257,0.64693,0.59713,1.20178,0.96874,0.95568,0.98209,0.73924,0.59789,0.42607,1.03717,0.0011885,0.0011885,0.0011885
19,52.2155,0.66725,0.59471,1.21801,0.8958,0.96394,0.95057,0.72429,0.5872,0.43007,1.04325,0.00117435,0.00117435,0.00117435
20,54.6009,0.67288,0.61291,1.27939,0.94609,0.94101,0.9758,0.74509,0.59206,0.45818,1.0041,0.00116021,0.00116021,0.00116021
21,57.1824,0.65535,0.57311,1.25973,0.95629,0.97246,0.98682,0.74724,0.57039,0.42369,1.02188,0.00114606,0.00114606,0.00114606
22,59.8648,0.64044,0.56805,1.22123,0.98743,0.96807,0.98085,0.75589,0.5833,0.40616,1.03464,0.00113191,0.00113191,0.00113191
23,62.3373,0.64148,0.5631,1.24806,0.99429,0.97509,0.99203,0.75951,0.56666,0.40225,1.00758,0.00111776,0.00111776,0.00111776
24,64.8658,0.63671,0.52991,1.24682,0.99771,0.9728,0.99312,0.76013,0.57165,0.39399,0.96453,0.00110362,0.00110362,0.00110362
25,67.4379,0.62411,0.53847,1.23306,0.9943,0.98763,0.9947,0.78675,0.53539,0.36897,0.99541,0.00108947,0.00108947,0.00108947
26,70.0485,0.62964,0.52919,1.21691,0.98525,0.99383,0.99402,0.77168,0.54062,0.39523,0.97922,0.00107532,0.00107532,0.00107532
27,72.521,0.599,0.50074,1.20991,0.99374,0.99366,0.99451,0.76381,0.54226,0.35059,0.97255,0.00106118,0.00106118,0.00106118
28,74.9641,0.61798,0.51371,1.20415,0.98172,0.99151,0.99421,0.78661,0.51318,0.33343,0.97379,0.00104703,0.00104703,0.00104703
29,77.6772,0.60567,0.5045,1.21979,0.99075,0.99479,0.99463,0.79044,0.54663,0.33123,0.96806,0.00103288,0.00103288,0.00103288
30,80.2873,0.57913,0.49033,1.17696,0.98974,0.99582,0.99495,0.77471,0.53105,0.34703,0.97808,0.00101873,0.00101873,0.00101873
31,82.7263,0.59471,0.47674,1.1839,0.99072,0.9082,0.97983,0.76329,0.55908,0.43428,1.0062,0.00100459,0.00100459,0.00100459
32,85.0866,0.58833,0.47985,1.21226,0.98724,0.97871,0.98924,0.77802,0.53173,0.35758,0.98938,0.00099044,0.00099044,0.00099044
